Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
Sartarelli Società Agricola,,,contact@sartarelli.it,sartarelli.it,"Via Coste Del Molino, 24",60030,Poggio San Marcello,Ancona,Marche,,0731 89732,,,,,,,,,
Vie D’Alt,,,info@viedalt.it,viedalt.it,"Via Craoretto, 16",33040,Prepotto,Udine,Friuli Venezia Giulia,,0432713069,,,,,,,,,
Antiche Vigne Pompeiane,,,info@antichevignepompeiane.com,antichevignepompeiane.com/,"Via Crapolla Ii, 69",80045,Pompei,Napoli,Campania,,0818561648,,,,"no shop on line IGT Pompeiano, l’IGT Campano, l’IGT Beneventano e vini D.O.C. del Vesuvio.",,,,12/5/2024,
Vigne Chigi,,,info@vignechigi.com,vignechigi.com/it/contatti/,Via Cretaccio,81040,Pontelatone,Caserta,Campania,,3386534128,,,,si visite,,,,12/5/2024,
Uve Vettoretti,,,nd,uvevettoretti.com,"Via Crevada, 8/C ",31058,Susegana,Treviso,Veneto,,04381842173,,,,,,,,,
Cantina Paltrinieri,Ha una figura dedicata a 360 gradi che gli gestisce tutto,Alessandra,info@cantinapaltrinieri.it,cantinapaltrinieri.it/contatti/,"Via Cristo, 49",41030,Sorbara di Bomporto,Modena,Emilia Romagna,Alberto Paltrinieri,059902047,,,,si visite con modulo di prenotazione su sito ha risposto e declinato l'invito per vineis,,Declinato,,12/3/2024,
Fuocomuorto,FIVI,,info@fuocomuorto.it,fuocomuorto.it,"Via Croce Dei Monti, 24",80056,Ercolano,Napoli,Campania,,817394655,,,,,,,,12/5/2024,
Biovio,FIVI,,info@biovio.it,biovio.it,"Via Crociata, 24",17031,Bastia d'Albenga,Savona,Liguria,,018220776,,,,,,,,1/27/2025,
Azienda Agricola Pasquale Pelissero,,,info@pasqualepelissero.com,pasqualepelissero.com,"Via Crosa, 2",12052,Neive,Cuneo,Piemonte,,3282028446,,,,,,,,,
Col Di Rocca,,,info@coldirocca.it,coldirocca.it,"Via Cucco, 72",31058,Susegana Loc. Collalto,treviso,Veneto,,0438840099,,,,,,,,,
Tenuta Sant'Agostino,Paestum Wine Fest,,c.ceparano@tenutasantagostino.it,tenutasantagostino.it,"Via Cupa, 80",82036,Solopaca,Benevento,Campania,Dott. Carlo Ceparano,3935051862,,,,producono vino invecchiato in anfore di gres porcellanato,,,,12/5/2024,
La Costa,FIVI,,info@la-costa.it,la-costa.it,"Via Curone, 15",23888,Perego,Lecco,Lombardia,,395312218,,,,,,,,12/8/2024,
Giacomo Simone,FIVI,,info@simonegiacomo.it,simonegiacomo.it,"Via Curtole, S.N.C.",82037,Castelvenere,Benevento,Campania,,3207761637,,,,,,,,12/5/2024,
Donna Clara,FIVI,,amministrazione@donnaclara.it,donnaclara.it,"Via D.A. De Luca, 32",84059,Camerota,Salerno,Campania,,393338359486,,,,,,,,12/5/2024,
Azienda Agricola Foradori S.S,,,info@agricolaforadori.com,agricolaforadori.com,"Via Damiano Chiesa, 1",38017,Mezzolombardo,Trento,Trentino Alto Adige,,0461601046,,,,,,,,3/5/2025,
Bastiani Barbara,,,barbybast@libero.it,ND,Via Dante 87,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48160848,,,,,,,,,
Su Cuppoi,,,info@sucuppoi.it,sucuppoi.it/,"Via Dante Alighieri, 62",09098,Terralba,Oristano,Sardegna,,3290760483,,,,,,,,12/17/2024,
Villa Parens - Farra D'Isonzo ,,,maison@villaparens.com,villaparens.com/,"Via Dante Alighieri, 69",34072,Farra d'Isonzo,Gorizia,Friuli Venezia Giulia,,0481888198,,,,si visite,,,,12/4/2024,
Buscaglia Andrea,FIVI,,info@vinibuscaglia.it,vinibuscaglia.it/,"Via Dante, 4",27040,Rovescala,Pavia,Lombardia,,3470374640,,,,,,,,12/8/2024,
Cantina Domenis-Domenis1898 Srl,,,info@domenis1898.com,domenis1898.eu/,"Via Darnazzacco, 30",33043,Cividale del Friuli,Udine,Friuli Venezia Giulia,,0432731023,,,,distillati,,,,2/10/2025,
Giovanna Madonia,FIVI,,giovanna@giovannamadonia.it,giovannamadonia.it,"Via Dè Cappuccini, 130/A",47032,Bertinoro,Forli-Cesena,Emilia Romagna,,543444361,,,,,,,,12/6/2024,
Fontefico,,,contatti@fontefico.it,fontefico.it/,"Via Defenza, 38",66054,Vasto,Chieti,Abruzzo,,3357124154,,,,"etichette molto carine - fontefico è distribuita da cuzziol tv - si visite - gia su "" Percorsi d'Abruzzo "" lguida per l'enoturismo in Abruzzo provare per le scatole",,,,1/20/2025,
Rocco Pirito Vini Ciro',FIVI,,roccopirito@alice.it,roccopirito.it,"Via Degli Enotri, 3",88813,Cirò,Crotone,Calabria,,3384811128,,,,Ha risposto a maile da contattare telefonicamente,,,,3/5/2025,
Damijan Podversic ,,,damijan@damijanpodversic.com,damijanpodversic.com/,"Via Degli Eroi, 33",34170,Gorizia,Gorizia,Friuli Venezia Giulia,,048178217,,,,CONTATTARE. POSSIAMO DIRGLI CHE LO ACQUISTAVAMO TRAMITE VIGNAIOLI VOLANTI. nn ce indirizzo email su sito mandato messaggio da modulo di contatto,,,,2/10/2025,
Cantine Capobianco,,,info@capobiancocantine.it,capobiancowine.it,"Via Degli Eucalipti, 4",04024,Gaeta,Latina,Lazio,,0771742105,,,,,,,,12/11/2024,
Cantina Ortaccio  ,,,cantinaortaccio@gmail.com,cantinaortaccio.com/,Via Degli Ortacci 9-11,01010,Latera,Viterbo,Lazio,,3311015786,,,,,,,,12/11/2024,
La Torre,FIVI,,info@pasini-latorre.com,pasinilatorre.it,"Via Torre, 1/3",25080,Calvagese della Riviera,Brescia,Lombardia,,30601034,,,,,,,,12/8/2024,
Velenosi,,,info@velenosivini.com,velenosivini.com,"Via Dei Biancospini, 11",63100,Ascoli Piceno,Ascoli-Piceno,Marche,,0736341218,,,,,,,,,
Batzella,,,info@batzella.com,batzella.com,"Via Dei Campi Al Mare, 227 - Località Badia",57022,Castagneto Carducci,Livorno,Toscana,,0565775776,,,,bolgheri,,,,12/15/2024,
Corte Alla Flora,,,info@corteallaflora.com,corteallaflora.com/,"Via Dei Cappuccini, 10",00187,Roma,Roma,Lazio,,348801 2368,,,,indirizzo di roma vini ad etichetta corte della flora distributore? grossista? inviato messaggio su sito,,,,12/8/2024,
Ceralti ,,,info@ceralti.com,ceralti.com,"Via Dei Ceralti, 77",57022,Donoratico,Livorno,Toscana,,0565763989,,,,bolgheri,,,,12/17/2024,
Antonelli Marco,,,info@antonellimarco.it,marcoantonelli.info,"Via Dei Ciliegi, 1",06060,Montefalco,Perugia,Umbria,,0742379628,,,,,,,,,
Codelli,,,info@codelli.it,codelli.it/,Via Dei Codelli 15,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,481809285,,,,,,,,2/14/2025,
Tasca D'Almerita,,,info@tascadalmerita.it,tascadalmerita.it,"Via Dei Fiori, 13",90129,Palermo,Palermo,Sicilia,,0923702111,,,,,,,,2/25/2025,
Casa Divina Provvidenza,richiamare nel pomeriggio,Roberto,commerciale@casadivinaprovvidenza.it,casadivinaprovvidenza.it,"Via Dei Frati, 140",00048,Nettuno,Roma,Lazio,Massimiliano Rognoni,3387312279,,,,"Da ricontattare, mezzo interessato al gruppo (se si ricorda) - reinviata mail pres.1/08",,Declinato,,12/11/2024,
Cantina Spallotta Walter Snc,,,spallottawalter49@gmail.com,cantinaws.it,"Via Dei Laghi, 1",00049,Velletri,Roma,Lazio,,069633729|,,,,,,,,12/11/2024,
Azienda Agricola Mazzi E Tasselli,,,nd,ND,"Via Dei Martiri, 30",42010,Rio Saliceto,Reggio-Emilia,Emilia Romagna,,3388589035,,,,no sito chismare,,,,,
Marco Sara,,,info@marcosara.com,marcosara.com,"Via Dei Monti, 3",33040,Savognano del Torre,Udine,Friuli Venezia Giulia,,3467279163,,,,,,,,,
Sara&Sara,FIVI,,info@saraesara.com,saraesara.com,"Via Dei Monti, 5",33040,Povoletto,Udine,Friuli Venezia Giulia,,0432604593,,,,,,,,12/8/2024,
Azienda Vitivinicola Bronzato,,,info@bronzatowine.it,bronzatowine.it,"Via Dei Peschi, 21",37141,Verona,Verona,Veneto,,3346184343,,,,inviata email presentazione,,,,12/11/2024,
Podere Della Bruciata ,,,info@poderedellabruciatawines.it,poderedellabruciatawines.it,Via Dei Platani Snc Località Castagneto,53045,Sant'Albino,siena,Toscana,Alessandro,3272727130,,,,,,,,1/9/2025,
Gianatti Giorgio,FIVI,,gianatti.giorgio@alice.it,ND,"Via Dei Portici, 82",23020,Montagna in Valtellina,Sondrio,Lombardia,,342380033,,,,,,,,12/8/2024,
Di Ubaldo,,,elpampakei@gmail.com,cantinadiubaldo.com,Via Dei Sabini 35,64016,Sant’Egidio alla Vibrata,Teramo,Abruzzo,,0861841111,,,,,,,,,
Camerlengo,,,info@camerlengodoc.it,camerlengodoc.it,Via Dei Tigli (Parco Delle Cantine Di Rapolla ),85027,Rapolla,Potenza,Basilicata,,335251885,,,,,,,,1/20/2025,
Barattieri,FIVI,,info@aziendabarattieri.com,aziendabarattieri.com,"Via Dei Tigli, 100",29020,Albarola,Piacenza,Emilia Romagna,,0523/875111,,,,,,,,12/6/2024,
Vino Perini,,,azienda@vinoperini.it,vinoperini.it,Via Dei Vigneti,33040,Savorgnano del Torre,Udine,Friuli Venezia Giulia,,3494501242,,,,,,,,12/15/2024,
Tenuta Arabona,,,info@tenutaarabona.it,tenutaarabona.it/,Via Dei Vigneti 4,65024,Manoppello Scalo,Pescara,Abruzzo,,0858561902,,,,si visite anche olio e confetture,si,,,1/20/2025,
Azienda Agricola Valentini,,,az.agr.valentini@gmail.com,valentini.eu,"Via Del Baio, 2",65014,Loreto Aprutino,Pescara,Abruzzo,,0858291138,,,,,,,,,
Petra Marzia,,,petramarzia2020@gmail.com,petramarzia.it,"Via Del Bicentenario, 25",83020,Marzano di Nola,Avellino,Campania,agostino nappi,3475889694,03043070642,,,,,,,,
Arpepe,FIVI,,info@arpepe.com,arpepe.com/,"Via Del Buon Consiglio, 4",23100,Sondrio,Sondrio,Lombardia,,342214120,,,,,,,,12/18/2024,
Campo Al Pero ,,,campoalpero@cerbaropiccoli.it,campoalpero.it/,"Via Del Casone Ugolino, 12",57022,Castagneto Carducci,Livorno,Toscana,,0565774329,,,,bolgheri 29 ago tentato contatto riferisce e ci fa sapere rirovare tra qualche giorno...dice...mah,,,,12/15/2024,
Podere Arundineto Patrizia Corsi,,,info@poderearundineto.it,poderearundineto.it,"Via Del Casone Ugolino, 27",57022,Donoratico,Livorno,Toscana,,0565773192,,,,bolgheri,,,,12/17/2024,
Aia Vecchia ,,,info@aiavecchiabolgheri.it,aiavecchiabolgheri.it/,"Via Del Casone Ugolino, 7",57022,Bolgheri– Castagneto Carducci,Livorno,Toscana,,0586677147,,,,bolgheri 29 ago chiamare da lunedi gli uffici sono chiusi ancora,,,,12/15/2024,
Fèlsina,,,welcome@felsina.it,felsina.it,"Via Del Chianti, 101",53019,Castelnuovo Berardenga,Siena,Toscana,,0577355117,,,,,,,,,
Cantina Badia Morrona,,,francesca.serra.cervetti@badiadimorrona.it,badiadimorrona.it,"Via Del Chianti, 6",56030,Terricciola,Pisa,Toscana,,0587 658505,,,,,,,,,
Gaslini Alberti,,,info@badiadimorrona.it,gaslinialberti.it/,"Via Del Chianti, 6",56030,Terricciola,Pisa,Toscana,,0587658505,,,,,,,,12/4/2024,
Mutiliana,,,giorgiomelandri65@gmail.com,vinoedesign.it/mutiliana,"Via Del Chionso, 14",42122,Faenza,Ravenna,Emilia Romagna,,0522506284,,,,,,,,12/11/2024,
La Tunella,,,info@tunella.it,tunella.it,"Via Del Collio, 14",33040,Ipplis di Premariacco,Udine,Friuli Venezia Giulia,,0432716030,,,,,,,,,
Cascinotta Di Rizzolo,FIVI,,vittoriobarbieri@hotmail.com,ND,"Via Del Colombarone, 34",29019,San Giorgio Piacentino,Piacenza,Emilia Romagna,,333 2926405,,,,,,,,12/6/2024,
Societa’ Agricola Damiano Ciolli S.S.,FIVI,,info@damianociolli.it,damianociolli.it,"Via Del Corso, S.C.",00035,Olevano Romano,Roma,Lazio,,3383024517,,,,,,,,12/11/2024,
Falcon,FIVI,,info@falconvini.it,wwwfalconvini.it,"Via Del Cristo, 38/A",33040,Primulacco di Povoletto,Udine,Friuli Venezia Giulia,,3477056140,,,,,,,,2/10/2025,
Dislivelli,FIVI,,info@dislivelli.com,ND,"Via Del Gesù, 7",23100,Sondrio,Sondrio,Lombardia,,342511932,,,,,,,,12/8/2024,
Tenuta Terraviva,,,info@tenutaterraviva.it,tenutaterraviva.it/,"Via Del Lago, 19",64018,Tortoreto,Teramo,Abruzzo,,0861786056,,,,si visite,,,,12/4/2024,
The Vinum Azienda Vinicola Bio,,,info@thevinum.com,thevinum.com/,Via Del Lavoro 6,66020,Villa Caldari,Chieti,Abruzzo,,3488525879,,,,si visite hanno enoteca ristorante e hospitality nn ce email su sito mandato messaggio,,,,3/10/2025,
Don Carlo Vini E Tartufi,,,az.agr.doncarlo@gmail.com,ND,"Via Del Mare, 18",66034,Lanciano,Chieti,Abruzzo,,39966998,,,,,,,,1/20/2025,
Collemoro,,,info@collemoro.it,collemoro.it,"Via Del Mare, 35",66030,Fissa,Chieti,Abruzzo,,087258128,,,,inviato messaggio su sito,,,,12/6/2024,
Poggiolella,,,info@poggiolella.it,poggiolella.it/,"Via Del Maremmello, 2A",58015,Orbetello,Grosseto,Toscana,,3803000000,,,,vino e olio per scatole ok,,,,12/4/2024,
Agricola Andreassi ,,,info@viniandreassi.it,viniandreassi.it,"Via Del Mennone, 18",00045,Genzano di Roma,Roma,Lazio,,​069370271,,,,,,,,12/11/2024,
Azienda Agricola Vigna Sun Giorgio,Paestum Wine Fest,,raffaella@vignesungiorgio.it,vignasungiorgio.com/,"Via Del Molino, 107/11",33030,Campoformido,Udine,Friuli Venezia Giulia,Raffaella Bruno,3355376924,,,,Il marito è l'amministratore della Schiopetto ed ex Socio di Jermann,,,,2/9/2025,
La Ginestra,,,valentina.primas@laginestravini.com,laginestravini.it/,"Via Del Monte, 12",34070,Mossa,Gorizia,Friuli Venezia Giulia,,3478614183,,,,Bottiglie Brutte,,,,2/16/2025,
Duca Di Saragnano,,,info@ducadisaragnano.com,barbaneravini.it/vini/duca-di-saragnano,"Via Del Palazzone, 4 ",53040,Cetona ,Siena,Toscana,,0578244174,,,,,,,,,
Cantine Leonardi,,Roberto,riccardo@cantinaleonardi.it,cantinaleonardi.it,"Via Del Pino, 12",01027,Montefiascone,VIterbo,Lazio,Riccardo Aputini,3406728548,,,,"CONTATTARE,. Bella cantina del lazio buona sia per vineis per stappando",,Nessun Feedback,,3/6/2025,
Tenuta Di Saragano,FIVI,,info@tenutadisaragano.it,tenutadisaragano.it/?lang=it,"Via Del Poggio, 4",06035,Gualdo Cattaneo,Perugia,Umbria,,393334338231,,,,,,,,1/12/2025,
Ferrari Trento,,,hospitality@ferraritrento.it,ferraritrento.com,"Via Del Ponte, 15",38123,Trento,Trento,Trentino Alto Adige,,0461972331,,,,,,,,,
Cavit,,,cavit@cavit.it,cavit.it,"Via Del Ponte, 31",38123,Ravina,Trento,Trentino Alto Adige,,0461381711,,,,,,,,,
Cascina Del Pozzo Az.Agr,,,info@cascinadelpozzo.com,cascinadelpozzo.com/,"Via Del Pozzo, 15",12050,Castellinaldo d’Alba,Cuneo,Piemonte,,0173213226,,,,roero no shop on line si visite in cantina az.familiare sito tante foto familiari...bell'impatto,,,,12/8/2024,
Castello Di Buttrio,,,info@castellodibuttrio.it,castellodibuttrio.it,"Via Del Pozzo, 5",33042,Buttrio,Udine,Friuli Venezia Giulia,,0432673015,,,,,,,,,
Castellaccio,,,lorenzo.bottai@libero.it,aziendacastellaccio.it,Via Del Pratellino 7 ,50131,Firenze,Firenze,Toscana,,335 8122651,,,,chianti,,,,12/17/2024,
I Magredi S.R.L.,la mail non funziona,Roberto,info@imagredi.com,imagredi.com,"Via Del Sole, 15",33090,Domanins,Pordenone,Friuli Venezia Giulia,Gianluca Briatore,3450525811,,,,reinoltrata email 9/08,,Nessun Feedback,,12/4/2024,
Contucci Di Alamanno Contucci & C. Società Agricola Sas,,,info@contucci.it,contucci.it/,"Via Del Teatro, 1",53045,Montepulciano,Siena,Toscana,,0578757006,,,,montepulciano,,,,12/15/2024,
Cantina Mezzacorona,,,info@mezzacorona.it,mezzacorona.it,Via Del Teroldego 1/E,38016,Mezzocorona,Trento,Trentino Alto Adige,,0461616399,,,,,,,,3/5/2025,
Drei Doná Tenuta La Palazza,FIVI,,ida@dreidona.it,dreidona.it,"Via Del Tesoro 23, Località Massa Di Vecchiazzano",47121,Forlì,Forli-Cesena,Emilia Romagna,,543769371,,,,,,,,12/6/2024,
Leonardo Da Vinci,,,shop@leonardodavinci.it,shop.leonardodavinci.it/,"Via Del Torrino, 19",50059,Vinci,Firenze,Toscana,,0543771942,,,,,,,,12/15/2024,
Perusini Società Agricola s.s.,,,info@perusini.com,perusini.com,"Via Del Torrione, 13",33040,Corno di Rosazzo,Udine,Friuli Venezia Giulia,,0432759151,03033320304,,,,,,,,
Terrazzi Alti,FIVI,,info@terrazzialti.com,terrazzialti.com,"Via Del Vecchio Macello, 4/D",23100,Sondrio,Sondrio,Lombardia,,3315207109,,,,,,,,12/8/2024,
Weinhof Kobler,,,info@kobler-margreid.com,kobler-margreid.com,"Via Del Vino, 36",39040,Magrè,Bolzano,Trentino Alto Adige,,3391417507,,,,inviata email presentazione,,,,12/4/2024,
Abbazia Di Propezzano,FIVI,,info@abbaziadipropezzano.com,abbaziadipropezzano.com/,"Via Dell'Abbazia, Contrada Propezzano",64020,Morro d'oro,Teramo,Abruzzo,,3284426787,,,,si visite prenotazione da modulo,,,,2/1/2025,
Poggio Bonelli,,,info@poggiobonelli.it,poggiobonelli.it,"Via Dell’Arbia, 2",53019,Castelnuovo Berardenga,Siena,Toscana,,057756661,00049100522,,,,,,,12/9/2024,
Azienda Agricola I Chicchi ,,,info@ichicchi.it,ichicchi.it,"Via Dell'Incastrino, 11",00040,Ardea,Roma,Lazio,,3336002439,,,,gia su horezon piattaforma x horeca,,,,1/29/2025,
Tenuta Lenzini,,,info@tenutalenzini.it,tenutalenzini.it,"Via Della Chiesa Di Gragnano, 44",55012,Capannori,Lucca,Toscana,,0583974037,,,,,,,,12/9/2024,
Le Terrazze Di Spazzavento,FIVI,,picciolinialessandro@gmail.com,leterrazzedispazzavento.it,"Via Della Chiesa, 1 Monterubiaglio, 1",05014,Castel Viscardo,Terni,Umbria,,5779.02.00,,,,,,,,12/15/2024,
Le Vigne Di Alice,,,info@levignedialice.it,levignedialice.it/,"Via Della Chiesa, 20",31029,Vittorio Veneto,Treviso,Veneto,,3317495020,,,,distribuito da Pwellegrini spa,,,,12/15/2024,
Tenuta Di Ghizzano,,,info@tenutadighizzano.com,tenutadighizzano.com/it/,"Via Della Chiesa, 4",56037,Ghizzano Di Peccioli,Pisa,Toscana,,0587 630096,,,,,,,,12/17/2024,
Rizzini Franciacorta,FIVI,,info@rizzinifranciacorta.it,rizzinifranciacorta.it,"Via Torre, 4",25040,Monticelli Brusati,Brescia,Lombardia,,30653032,,,,,,,,12/8/2024,
Vitivinicola Fangareggi,,,info@vitivinicolafangareggi.com,your-wine.it/,"Via Della Costituzione, 25",42015,Correggio,Reggio-Emilia,Emilia Romagna,,5221606532,,,,,,,,2/19/2025,
Cantalici,,,reservation@cantalici.it,cantalici.it,"Via Della Croce, 17-19",53013,Gaiole in Chianti,Siena,Toscana,,0577731038,,,,chianti,,,,12/15/2024,
Vigne Toniche ,,,vignetoniche@gmail.com,ND,"Via Della Fontana, 23",03045,Esperia,Frosinone,Lazio,,3454223938,,,,,,,,1/25/2025,
Azienda Agricola di Graziano Prà,,,info@vinipra.it,vinipra.it/it/,"Via Della Fontana, 31",37032,Monteforte d'Alpone,Verona,Veneto,,045 76 12 125,,,,,,,,,
Azienda Agricola Pulcini,,Claudio,info@pulcinisimone.it,pulcinisimone.it,"Via Della Lite, 87",00132,Roma,Roma,Lazio,,3805818803,,,,,,,,,
Tellenae - Societa' Agricola Stramacci,,,manfredistramacci@gmail.com,manfredistramacci.com,"Via Della Marrana Di Santa Fresca, 82",00134,Roma,Roma,Lazio,,3274696766,,,,,,,,12/11/2024,
Azienda Agricola Franca Contea,,,info@francacontea.it,francacontea.it/,"Via Valli, 30",25030,Adro,Brescia,Lombardia,Cavelleri Luigi,0307451217,,,,(ottimo franciacorta lo acquistavamo da Rocchi,,,,12/8/2024,
Tenuta Tre Cancelli,,,info@tenutatrecancelli.com,tenutatrecancelli.com,"Via Della Piscina, 3",00052,Cerveteri,Roma,Lazio,,0639732012,,,,,,,,,
Tenuta Il Poggione,,,info@ilpoggione.it,tenutailpoggione.it/,Via Della Porta ,53024,Sant'Angelo In Colle,Siena,Toscana,,0577844029,,,,,,,,3/5/2025,
Cantina Ventiventi,FIVI,,info@ventiventi.it,ventiventi.it,"Via Della Saliceta, 15",41036,Medolla,Modena,Emilia Romagna,,393440330771,,,,,,,,2/19/2025,
Cantina Oliveto ,,,cantinaoliveto@gmail.com,ND,"Via Della Scaglia, S.C.",00059,Tolfa,Roma,Lazio,,3401559480,,,,nn ce sito,,,,12/11/2024,
Casale Certosa,FIVI,,antoniocosmi59@gmail.com,vinilacertosa.it,"Via Della Stazione Di Pavona, 93",00134,Roma,Roma,Lazio,,3384239238,,,,,,,,12/11/2024,
Azienda Agricola Sete ,,,info@progettosete.it,progettosete.it,"Via Della Stazione, 116",04015,Piverno,Latina,Lazio,,0773439072,,,,vini naturali etichette molto attraenti inviato messaggio sul loro sito ntrovata anche email...,,,,12/11/2024,
Cantina Ca' De Medici,,,cademedici@cademedici.it,cademedici.it/,"Via Della Stazione, 34",42124,Cade',Reggio-Emilia,Emilia Romagna,,522942141,,,,,,,,2/19/2025,
Fioretti Brera,FIVI,,info@fiorettibrera.it,fiorettibrera.it,"Via Della Stazione, 48",60022,Castelferretti,Ancona,Marche,,335373896,,,,,,,,12/11/2024,
Ranchelle,,,christoph.fischer@tiscali.it,ranchelle.it/,"Via Della Torre, 2 - Poggio Murella",58014,Manciano,Grosseto,Toscana,,3298981266,,,,vini naturali,,,,12/4/2024,
Tiberini ,,,info@tiberiniwine.com,tiberiniwine.com,"Via Delle Caggiole, 2",53045,Montepulciano,Siena,Toscana,,3490653701,,,,,,,,1/9/2025,
Cantina Kettmeir,,,info@kettmeir.com,kettmeir.com,"Via Delle Cantine, 4",39052,Caldaro,Bolzano,Trentino Alto Adige,,0471963135,,,,,,,,3/5/2025,
Poggio Gagliardo Colline Di Sopra,,,info@collinedisopra.com,collinedisopra.com,"Via Delle Colline, 17",56040,Montescudaio,Pisa,Toscana,,3347180758,,,,,,,,12/4/2024,
Società Agricola Sabresenò Srl,,,hello@sabreseno.com,sabreseno.com/,"Via Delle Felci, 36",07026,Olblia,Sassari,Sardegna,,3930541055,,,,vermentino di gallura,,,,12/15/2024,
Azienda Agricola Centorame Di Vannucci Lamberto,FIVI,,info@centorame.it,ND,Via Delle Fornaci,64030,Basciano,Teramo,Abruzzo,,3473819186,,,,si visite Contattare tramite telefono o email,,,,2/1/2025,
Simonelli Santi ,,,vendite@simonellisanti.com,simonellisanti.com/,"Via Delle Fornaci, 41",53027,San Quirico D’Orcia,Siena,Toscana,,0577898244,,,,vino e olio si scatole si hospitality si shop,,,,12/15/2024,
Tenuta Le Quinte,,,info@tenutalequinte.it,tenutalequinte.com/,"Via Delle Marmorelle Nuova, 91",00077,Monte Compatri,Roma,Lazio,,069438756,,,,gia su stappando mandare per vineis fanno anche birra mandare anche listino scatole,,,,12/4/2024,
I Campi,,,info@icampi.it,icampi.it/,"Via Delle Pezzole, 3 - Località Allodola",37031,Cellore d'Illasi,Verona,Veneto,,456175915,,,,,,,,12/15/2024,
Icario,,,info@icario.it,icario.it/,"Via Delle Pietrose, 2",53045,Montepulciano,Siena,Toscana,,0578758845,,,,,,,,12/15/2024,
Cantina Del Colonna ,,,info@cantinadelcolonna.it,cantinadelcolonna.it/,"Via Delle Pistrine, 8",06010,Citerna,Perugia,Umbria,Dylan,3345962398,,,,mandata email pres. 25 in data 14 ha risposto il gg dopo l ho chiamato vuole informazioni mandare pres. attendere,,,,1/14/2025,
I Fenicotteri,FIVI,,amorosogiovanna9@gmail.com,cantinaifenicotteri.com,"Via Delle Sante, 1",06057,MONTECASTELLO DI VIBIO,Perugia,Umbria,,338-1509599,,,,,,,,12/15/2024,
Cantina Morichelli,FIVI,,cantinamorichelli@hotmail.it,cantinamorichelli.it,"Via Delle Scalette, 26",00069,Trevignano Romano,Roma,Lazio,,3334650724,,,,,,,,12/11/2024,
Casali Viticultori,,,info@casalivini.it,casalivini.it/contatti/,"Via Delle Scuole, 7",42019,Pratissolo di Scandiano,Reggio-Emilia,Emilia Romagna,,522855441,,,,,,,,2/19/2025,
Pasini San Giovanni,FIVI,,info@pasinisangiovanni.it,pasinisangiovanni.it/,"Via Videlle, 2",25080,Raffa di Puegnago,Brescia,Lombardia,,365651419,,,,,,,,12/8/2024,
Travaglini,,,info@travaglinigattinara.it,travaglinigattinara.com,Via Delle Vigne 36,13045,Gattinara,Vercelli,Piemonte,,0163833588,,,,,,,,,
Corte Anna,FIVI,,info@corteanna.com,corteanna.com,"Via Vigneto, 10",25019,Sirmione,Brescia,Lombardia,,3897638918,,,,,,,,12/8/2024,
Tenuta Mattei,,,info@tenutamattei.com,tenutamattei.com/,"Via Delle Ville, 53",60013,Corinaldo,Ancona,Marche,,337213649,,,,,,,,12/11/2024,
Querciabella,,,info@querciabella.com,querciabella.com,Via Di Barbiano 17,50022,GREVE IN CHIANTI,Firenze,Toscana,,0558780195,,,,,,,,12/9/2024,
Podere La Chiesa,,,info@poderelachiesa.it,poderelachiesa.it/,"Via Di Casanova, 66 A",56030,Terricciola,Pisa,Toscana,,0587635484,,,,chianti e altro visite & degustazioni,,,,12/4/2024,
Collespino Tenimenti,FIVI,,adimar.lex@gmail.com,collespino.it,Via Di Collespino 35,05035,Narni,Terni,Umbria,,3663599152,,,,,,,,12/15/2024,
Castelsimoni,FIVI,,vinidimontagna@castelsimoni.it,castelsimoni.it,"Via Di Collettara, S.N.C.",67100,Cese di Preturo,L'Aquila,Abruzzo,,3357663636,,,,GIA FORNITORE. ACQUISTIAMO TRAMITE TOMASSUCCI,,,,12/4/2024,
Boncompagni Ludovisi - Tenuta Di Fiorano,,,info@tenutadifiorano.it,tenutadifiorano.it/,"Via Di Fioranello, 19",00134,Roma,Roma,Lazio,,0679340093,,,,,,,,12/11/2024,
Cantina Fassati Salarco,,,info@cantinafassati.it,cantinafassati.it/,"Via Di Graccianiello, 3/A",53045,Montepulciano,Siena,Toscana,,0578708708,,,,,,,,12/15/2024,
Corinaldesi - Cantina Montetorto,FIVI,,corinaldesiandrea98@gmail.com,corinaldesivignaioliartigiani.it,"Via Di Jesi, 334",60027,Osimo,Ancona,Marche,,3343016524,,,,hanno risposto alla mail vogliono info chiedere call solo fb proporre anche sito sentito inviata presentazione richiamare,,,,12/4/2024,
Casale Mattia,,,info@casalemattia.it,casalemattia.it/index.php,"Via Di Monte Mellone, 19",00077,Monte Compatri,Roma,Lazio,,69426249,,,,si visite si sono iscritti a vineis 25 nov mandato contratto parlato con lucia per info mi manda contratto,,,,11/25/2024,
Boscarelli,,,info@poderiboscarelli.com,poderiboscarelli.com/,"Via Di Montenero, 24",53045,Montepulciano,Siena,Toscana,,0578767608,,,,,,,,12/15/2024,
